StudyID,NCTNumber,StudyTitle,FirstAuthor,PublicationYear,StartYear,CompletionYear,StudyDuration,Country,Settings,Settings Category,Phase,Phase Category,PopulationsStudied,Population Category,Conditions,Condition Category,VaccineName,Vaccine Name Category,VaccineType,Types of Vaccines Category,Outcome,Vaccine Outcomes Category,SampleSize,Sex,PercentageFemale,LossToFollow-up,MainResults,Significance Category,MainLimitations,Main Limitations Category,Manufacturer Type,Cleaned Manufacturer Type,Manufacturer Category,Source of Funding,Cleaned Funding Source,Funding Category,StudyStatus,Sponsor,Sponsor Category,Collaborators,Collaborator Category,CountryCount,SampleSizeCategory
72.0,,The effect of BCG revaccination on all-cause mortality beyond infancy: 30-year follow-up of a population-based double-blind randomised placebo-controlled trial in Malawi,Judith R Glynn,2021.0,1986.0,2018.0,33.0,Malawi,Karonga District  northern Malawi,Miscellaneous and Non-Specific Locations,,Not Reported,Individuals aged 3 months to 75 years,General Population,Tuberculosis  ,Bacterial,BCG (Glaxo-strain),Tuberculosis,BCG vaccine,Live attenuated,All-cause mortality,Secondary Disease,46.0,,,,No significant difference in all-cause mortality between the BCG and placebo groups in either the northern or southern areas of the district,Significant,,Not Reported,Glaxo,Glaxo,Pharmaceutical,British Leprosy Relief Association (LEPRA); Wellcome Trust,British Leprosy Relief Association,Philanthropic,Completed  Published,,,,,1.0,Small
75.0,,Efficacy  safety  and immunogenicity of a booster regimen of Ad26.COV2.S vaccine against COVID-19 (ENSEMBLE2): results of a randomised double-blind placebo-controlled phase 3 trial,,2022.0,2020.0,2021.0,2.0,South Africa,Medical practices and hospitals in multiple countries,Multicenter and International Studies,Phase 3,Late Phase Trials,Adults aged at least 18 years without previous COVID-19 vaccination,Adults,SARS-CoV-2/COVID-19,Viral,Ad26.COV2.S (Janssen),COVID-19,,Not Reported,Efficacy against moderate to severe-critical COVID-19,Efficacy,31.0,,,,A homologous Ad26.COV2.S booster administered 2 months after primary single-dose vaccination in adults was efficacious against moderate to severe-critical COVID-19,Inconclusive or Mixed Results,,Not Reported,Janssen,Janssen,Pharmaceutical,Janssen Research & Development,Janssen Research & Development,Industry,Completed  Published,,,,,1.0,Small
76.0,NCT03896724,Efficacy and immunogenicity of R21/Matrix-M vaccine against clinical malaria after 2 years' follow-up in children in Burkina Faso: a phase 1/2b randomised controlled trial,Mehreen S Datoo,2022.0,2019.0,2020.0,2.0,Burkina Faso,Nanoro,Miscellaneous and Non-Specific Locations,Phase 1/2,Early Phase Trials,Children aged 5-17 months,Children and Adolescents,Malaria,Parasitic,R21/Matrix-M,Other,,Not Reported,Safety profile,Safety,450.0,,,,Vaccine efficacy remained high in the high adjuvant dose group. Efficacy of 71% in the low-dose adjuvant group and 80% in the high-dose adjuvant group against clinical malaria.,Significant,Small sample size,Sample Size,University of Oxford,University Of Oxford,Academic,European and Developing Countries Clinical Trials Partnership 2 (EDCTP2),European And Developing Countries Clinical Trials Partnership,Government,Completed  Published,,,,,1.0,Medium
80.0,NCT03896724,Efficacy of a low-dose candidate malaria vaccine R21 in adjuvant Matrix-M with seasonal administration to children in Burkina Faso: a randomised controlled trial,Mehreen S Datoo,2021.0,2019.0,2019.0,1.0,Burkina Faso,Institut de Recherche en Sciences de la Sante  Nanoro  Burkina Faso,Miscellaneous and Non-Specific Locations,Phase 2,Mid-Phase Trials,Children aged 5-17 months,Children and Adolescents,Malaria,Parasitic,R21,Other,Circumsporozoite protein-based vaccine,Subunit/Protein,Vaccine efficacy was 74% in group 1 and 77% in group 2 at 6 months. At 1 year  vaccine efficacy remained high at 77% in group 1.,Efficacy,450.0,Both Genders,49.3,4.7,Vaccine efficacy was 74% in group 1 and 77% in group 2 at 6 months. At 1 year  vaccine efficacy remained high at 77% in group 1.,Significant,Short period of follow-up  limited age range of participants  need to assess safety in larger numbers of participants,Other,Serum Institute of India,Serum Institute Of India,Pharmaceutical,European & Developing Countries Clinical Trials Partnership  Wellcome Trust  National Institute for Health Research Oxford Biomedical Research Centre,European & Developing Countries Clinical Trials Partnership,Philanthropic,Completed  Published,,,,,1.0,Medium
81.0,NCT02762851,Influenza vaccine to reduce adverse vascular events in patients with heart failure: a multinational randomised double-blind placebo-controlled trial,Mark Loeb et al.,2022.0,,,,Kenya,Hospitals affiliated with universities or research institutes in Asia,Hospitals  Health Centers  and Clinics,,Not Reported,Patients aged 18 years or older with heart failure (NYHA class II,Adults,Heart failure,Other,Inactivated influenza vaccine,Influenza,Inactivated influenza vaccine,Inactivated/Killed,First-event composite for cardiovascular death,Other,5129.0,Both Genders,51.4,2.5,No significant difference in the first and second primary outcomes between the influenza vaccine and placebo groups overall,Significant,,Not Reported,Vaccine supplied by manufacturers in China and India for their respective countries,Vaccine Supplied By Manufacturers In China And India For Their Respective Countries,Other,UK Joint Global Health Trials Scheme and Canadian Institutes for Health Research Foundation,Uk Joint Global Health Trials Scheme And Canadian Institutes For Health Research Foundation,Government,Completed  Published,,,,,1.0,Large
180.0,NCT00254969,One-year post-primary antibody persistence and booster immune response to a DTaP-IPV//PRP~T vaccine (Pentaxim) given at 18 - 19 months of age in South African children primed at 6 10 and 14 weeks of age with the same vaccine,Shabir Ahmed Madhi,2011.0,,,,South Africa,Chris Hani Baragwanath Hospital  Johannesburg  South Africa,Hospitals  Health Centers  and Clinics,Phase 3,Late Phase Trials,Healthy children aged 18-19 months  previously primed with the same vaccine at 6  10  and 14 weeks of age,Children and Adolescents,Diphtheria | Pertussis | Measles,Viral,Pentaxim (DTaP-IPV//PRP~T),Polio,Pentavalent diphtheria tetanus acellular pertussis inactivated poliovirus Hib polysaccharide-conjugate vaccine,Inactivated/Killed,Seroprotected rates for diphtheria  tetanus  poliovirus  and Hib were high post-booster; at least 95.7% of participants had seroconverted against PT and FHA antigens,Other,182.0,Both Genders,47.2,,High seroprotection rates post-booster for diphtheria  tetanus  poliovirus  and Hib. High seroconversion rates for PT and FHA antigens. Vaccine was well tolerated with few severe reactions.,Inconclusive or Mixed Results,,Not Reported,Sanofi Pasteur,Sanofi Pasteur,Pharmaceutical,Sanofi Pasteur,Sanofi Pasteur,Government,Completed  Published,,,,,1.0,Medium
185.0,NCT00254969,Immunogenicity and safety of an acellular pertussis diphtheria tetanus inactivated poliovirus Hib-conjugate combined vaccine (Pentaxim™) and monovalent hepatitis B vaccine at 6 10 and 14 weeks of age in infants in South Africa,Shabir Ahmed Madhi,2011.0,,,,South Africa,Chris Hani Baragwanath Hospital  Johannesburg  South Africa,Hospitals  Health Centers  and Clinics,Phase 3,Late Phase Trials,Infants aged 6  10  and 14 weeks,Neonates and Infants,Pertussis | Polio | Haemophilus influenzae (Hib),Viral,Pentaxim™,Combination Vaccines,Acellular pertussis diphtheria tetanus inactivated poliovirus Hib-conjugate combined vaccine,Inactivated/Killed,High immunogenicity for each vaccine antigen  with seroprotection rates for diphtheria  tetanus  poliovirus  and hepatitis B at 100%  and 94.6% for PRP,Immunogenicity,212.0,,,2.5,High immunogenicity and seroprotection rates for all included antigens. The vaccine was compatible with monovalent hepatitis B vaccine and well tolerated,Inconclusive or Mixed Results,,Not Reported,Sanofi Pasteur,Sanofi Pasteur,Pharmaceutical,Sanofi Pasteur,Sanofi Pasteur,Government,Completed  Published,,,,,1.0,Medium
491.0,NCT04444674,Safety and immunogenicity of the ChAdOx1 nCoV-19 (AZD1222) vaccine against SARS-CoV-2 in people living with and without HIV in South Africa: an interim analysis of a randomised double-blind placebo-controlled phase 1B/2A trial,Shabir A Madhi,2021.0,2020.0,2020.0,1.0,South Africa,Seven South African locations,Miscellaneous and Non-Specific Locations,Phase 1/2,Early Phase Trials,People with and without HIV,People with Specific Conditions,SARS-CoV-2/COVID-19  ,Viral,ChAdOx1 nCoV-19 (AZD1222),COVID-19,Non-replicating chimpanzee adenovirus-vectored vaccine,Other,Well tolerated with favourable safety and immunogenicity  heightened immunogenicity in SARS-CoV-2 baseline-seropositive participants,Immunogenicity,104.0,,,,Favourable safety and immunogenicity profile in both HIV-positive and HIV-negative individuals,Inconclusive or Mixed Results,,Not Reported,,Not Reported,Not Reported,Bill & Melinda Gates Foundation  South African Medical Research Council  UK Research and Innovation,Bill & Melinda Gates Foundation,Philanthropic,Completed  Published,,,,,1.0,Medium
498.0,NCT02465216,Safety and immunogenicity of the adjunct therapeutic vaccine ID93 + GLA-SE in adults who have completed treatment for tuberculosis: a randomised double-blind placebo-controlled phase 2a trial,Tracey A Day,2021.0,2015.0,2016.0,2.0,South Africa,Three clinical sites near Cape Town  South Africa,Hospitals  Health Centers  and Clinics,Phase 2,Mid-Phase Trials,Adults aged 18-60 years  BCG-vaccinated  HIV-uninfected  diagnosed with drug-sensitive pulmonary tuberculosis,Adults,Tuberculosis,Bacterial,ID93 + GLA-SE,Malaria,Adjunct therapeutic vaccine,Other,Robust and durable antibody responses  specific polyfunctional CD4 T-cell responses to vaccine antigens,Immunogenicity,61.0,Both Genders,,,Vaccine was safe and immunogenic for all tested regimens  supporting further evaluation in therapeutic vaccination strategies,Inconclusive or Mixed Results,,Not Reported,,Not Reported,Not Reported,,Unknown,Not Reported,Completed  Published,,,,,1.0,Small
549.0,NCT04533399,Immunogenicity and safety of a SARS-CoV-2 recombinant spike protein nanoparticle vaccine in people living with and without HIV-1 infection: a randomised controlled phase 2A/2B trial,Shabir A Madhi,2022.0,2020.0,2020.0,1.0,South Africa,Multicentre,Miscellaneous and Non-Specific Locations,Phase 2,Mid-Phase Trials,HIV-negative people and people living with HIV-1,People with Specific Conditions,SARS-CoV-2/COVID-19,Viral,NVX-CoV2373 (Novavax),COVID-19,Matrix-M adjuvanted recombinant spike protein nanoparticle COVID-19 vaccine,Subunit/Protein,Safety similar in HIV-1 and HIV-negative participants. Attenuated humoral immune responses in HIV-1 not exposed to SARS-CoV-2 compared to HIV-negative counterparts,Safety,4164.0,,,,Safety of NVX-CoV2373 in people living with HIV-1 was similar to that in HIV-negative participants. Attenuated humoral immune responses in HIV-1 not previously exposed to SARS-CoV-2,Inconclusive or Mixed Results,,Not Reported,,Not Reported,Not Reported,Novavax and the Bill & Melinda Gates Foundation,Novavax And The Bill & Melinda Gates Foundation,Philanthropic,Completed  Published,,,,,1.0,Large
554.0,NCT02997969,Phase 1 Human Immunodeficiency Virus (HIV) Vaccine Trial to Evaluate the Safety and Immunogenicity of HIV Subtype C DNA and MF59-Adjuvanted Subtype C Envelope Protein,Mina C. Hosseinipour,2021.0,2016.0,2017.0,2.0,Zambia | South Africa | Tanzania,Clinical research sites in Zambia  South Africa  and Tanzania,Hospitals  Health Centers  and Clinics,Phase 1,Early Phase Trials,Healthy HIV-negative adults aged 18-40 years,Adults,HIV,Viral,HIV subtype C DNA and MF59-Adjuvanted Subtype C Envelope Protein,HIV,DNA vaccine  adjuvanted protein vaccine,Subunit/Protein,Safety  tolerability  immunogenicity,Immunogenicity,132.0,Both Genders,50.0,,All vaccinations were safe and well tolerated. Coadministration was associated with increased HIV-1 V1/V2 antibody response rate. Biojector elicited higher CD4+ T-cell response rates than needle/syringe in some regimens.,Inconclusive or Mixed Results,Limited by the number of participants and the short duration of the study,Other,GlaxoSmithKline (GSK)  IPPOX Foundation,Glaxosmithkline  Ippox Foundation,Pharmaceutical,National Institute of Allergy and Infectious Diseases (NIAID)  NIH  Bill & Melinda Gates Foundation  others,National Institute Of Allergy And Infectious Diseases,Philanthropic,Completed  Published,,,,,3.0,Medium
592.0,NCT04904549,Efficacy of a bivalent (D614 + B.1.351) SARS-CoV-2 recombinant protein vaccine with AS03 adjuvant in adults: a phase 3 parallel randomised modified double-blind placebo-controlled trial,Gustavo H Dayan,2023.0,2021.0,2022.0,2.0,Ghana | Kenya | Uganda,54 clinical research centres in eight countries,Hospitals  Health Centers  and Clinics,Phase 3,Late Phase Trials,Adults aged 18 years or older,Adults,SARS-CoV-2/COVID-19   ,Viral,Bivalent (D614 + B.1.351) SARS-CoV-2 recombinant protein vaccine,COVID-19,Recombinant protein vaccine,Subunit/Protein,Prevention of symptomatic COVID-19,Efficacy,13.0,,,,121 symptomatic COVID-19 cases were reported at least 14 days after dose 2 with an overall vaccine efficacy of 64.7%,Significant,,Not Reported,Sanofi US  Biomedical Advanced Research and Development Authority,Sanofi Us  Biomedical Advanced Research And Development Authority,Pharmaceutical,Sanofi US  Biomedical Advanced Research and Development Authority  and the US National Institute of Allergy and Infectious Diseases,Sanofi Us,Government,Completed  Published,,,,,3.0,Small
600.0,NCT04319380,Seasonal vaccination with RTSS/AS01E vaccine with or without seasonal malaria chemoprevention in children up to the age of 5 years in Burkina Faso and Mali: a double-blind randomised controlled phase 3 trial,Alassane Dicko,2023.0,2017.0,2022.0,6.0,Mali | Burkina Faso,District hospitals and community health centres in Mali and Burkina Faso,Hospitals  Health Centers  and Clinics,Phase 3,Late Phase Trials,Children aged 5 to 17 months at the start of the trial,Children and Adolescents,Malaria,Parasitic,RTSS/AS01E,Malaria,Malaria vaccine,Other,Prevention of clinical malaria,Efficacy,6861.0,Both Genders,48.2,,Protective efficacy in the combined group was 57.7% compared with SMC alone and 59.0% compared with RTSS/AS01E-alone,Significant,,Not Reported,GSK Rixensart Belgium,Gsk Rixensart Belgium,Pharmaceutical,UK Joint Global Health Trials and PATH's Malaria Vaccine Initiative (through a grant from the Bill & Melinda Gates Foundation),Uk Joint Global Health Trials And Path,Philanthropic,Completed  Published,,,,,2.0,Large
618.0,NCT03896477,Immunogenicity and safety of a 10-valent pneumococcal conjugate vaccine administered as a 2 + 1 schedule to healthy infants in The Gambia: a single-centre double-blind active-controlled randomised phase 3 trial,Ikechukwu Adigweme,2023.0,2019.0,2019.0,1.0,The Gambia,Medical Research Council Unit The Gambia at the London School of Hygiene & Tropical Medicine clinical trial facilities,Hospitals  Health Centers  and Clinics,Phase 3,Late Phase Trials,Healthy PCV-naive infants aged 6-8 weeks,Neonates and Infants,Pneumococcal disease,Bacterial,SIIPL-PCV  PHiD-CV  PCV13,Pneumococcal,Pneumococcal conjugate vaccines,Conjugate,Immunogenicity measured by serotype-specific IgG geometric mean concentrations (GMCs) and OPA geometric mean titre (GMT),Immunogenicity,660.0,Both Genders,,,Post-booster IgG GMCs generated by SIIPL-PCV were higher than those generated by PHiD-CV for seven of the eight shared serotypes. The GMCs and OPA GMT responses of SIIPL-PCV were generally higher or comparable to those of PHiD-CV and PCV13.,Inconclusive or Mixed Results,,Not Reported,Serum Institute of India,Serum Institute Of India,Pharmaceutical,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Philanthropic,Completed  Published,,,,,1.0,Medium
651.0,NCT04711356,Safety and immunogenicity of an Ad26.ZEBOV booster dose in children previously vaccinated with the two-dose heterologous Ad26.ZEBOV and MVA-BN-Filo Ebola vaccine regimen: an open-label non-randomised phase 2 trial,Daniela Manno,2023.0,2021.0,2021.0,1.0,Sierra Leone,One clinic in Kambia Town  Sierra Leone,Hospitals  Health Centers  and Clinics,Phase 2,Mid-Phase Trials,Children aged 4-15 years who had previously received the Ad26.ZEBOV and MVA-BN-Filo vaccine regimen,Children and Adolescents,Ebola,Viral,Ad26.ZEBOV,Ebola,Monovalent recombinant replication-incompetent adenovirus type 26 (Ad26) vector-based vaccine,Other,Safety and immunogenicity measured by adverse events and Ebola virus glycoprotein-specific IgG binding antibody geometric mean concentration,Immunogenicity,50.0,,,,Booster dose was well tolerated with mild adverse events. The geometric mean concentration of binding antibodies against the Ebola virus glycoprotein was significantly higher at 7 and 21 days after the booster dose compared to before the booster.,Significant,Follow-up period of only 28 days after booster vaccination; neutralising antibodies against Ebola virus not assessed; assessment of cellular immune responses not included,Other,Janssen Vaccines and Prevention,Janssen Vaccines And Prevention,Pharmaceutical,Innovative Medicines Initiative 2 Joint Undertaking,Innovative Medicines Initiative,Philanthropic,Completed  Published,,,,,1.0,Small
653.0,NCT04444674,Durability of ChAdOx1 nCoV-19 (AZD1222) vaccine and hybrid humoral immunity against variants including omicron BA.1 and BA.4 6 months after vaccination (COV005): a post-hoc analysis of a randomised phase 1b-2a trial,Shabir A Madhi,2023.0,2020.0,2020.0,1.0,South Africa,Seven locations in South Africa,Miscellaneous and Non-Specific Locations,Phase 1/2,Early Phase Trials,HIV-uninfected healthy adults aged 18-65 years,Adults,SARS-CoV-2/COVID-19,Viral,ChAdOx1 nCoV-19 (AZD1222),COVID-19,Non-replicating chimpanzee adenovirus vector SARS-CoV-2 vaccine,Viral vector,Durability of antibody responses  neutralising antibody activity against various SARS-CoV-2 variants,Immunogenicity,313.0,,,,Higher anti-S IgG GMCs and neutralising antibody titres in baseline seropositive group compared to seronegative group  including at day 180. The ADCC IgG GMT was higher in the seropositive group.,Inconclusive or Mixed Results,Post-hoc nature of the study  limited follow-up period (6 months post-study entry),Follow-up Duration,AstraZeneca,Astrazeneca,Pharmaceutical,Bill & Melinda Gates Foundation  the South African Medical Research Council  the UK Research and Innovation  the UK National Institute for Health Research  and the South African Medical Research Council,Bill & Melinda Gates Foundation,Philanthropic,Completed  Published,,,,,1.0,Medium
